question,contexts,ground_truth,answer,faithfulness,answer_relevancy,context_precision,context_relevancy,answer_similarity,bleu_score,cos-sim-TF-IDF,cos-sim-BertModel,sim-spacy,Human_score
Можно ли не расписываться на карте?,"[""['После получения карты поставьте свою подпись в прямоугольнике, расположенном на оборотной стороне карты. При отсутствии подписи карта может быть не принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты/кражи.']""]","При отсутствии подписи карта может быть не принята к оплате в торгово-сервисном предприятии, а также повышается риск использования карты злоумышленниками в случае ее утраты/кражи.","Из предоставленного контекста следует, что после получения карты банка Tinkoff необходимо расписаться в прямоугольнике на оборотной стороне карты. Без подписи карта может быть не принята к оплате, а также повышается риск ее использования злоумышленниками в случае ее утраты или кражи. Поэтому рекомендуется расписаться на карте для безопасности и удобства использования.",1.0,0.8351160111391535,0.9999999999,1.0,0.9126322482053498,0.1565,0.4227269168579594,0.9834192,0.939939982350558,1.0
"Мой друг попросил меня дать свою карту для оплаты и потом вернуть, это не опасно?","[""['Никогда не принимайте рекомендации, советы, помощь от третьих лиц при пользовании картой, особенно при снятии наличных денежных средств в банкоматах. В случае возникновения затруднений при совершении операции обратитесь Банк посредством дистанционного обслуживания. Обращайте внимание на расположение банкоматов. Старайтесь не пользоваться банкоматами, расположенными в плохо освещенных и безлюдных местах', 'Не передавайте карту другим лицам, в т.ч. родственникам и знакомым для проведения транзакций. С целью исключения Ваших потерь от несанкционированного использования Вашей карты (копирования информации с Вашей карты для ее дальнейшего мошеннического использования): при совершении операции оплаты с использованием карты никогда не выпускайте Вашу карту из поля зрения и требуйте от обслуживающего Вас лица, чтобы все операции с использованием карты совершались в Вашем присутствии.']""]","Не передавайте карту другим лицам, в т.ч. родственникам и знакомым для проведения транзакций и никогда не принимайте рекомендации, советы, помощь от третьих лиц при пользовании картой, особенно при снятии наличных денежных средств в банкоматах.","Использование карты безопасно при соблюдении определенных правил, представленных в разделе ""Меры безопасности при использовании карты"". Однако передавать карту другому лицу для оплаты и потом возвращать не рекомендуется, чтобы исключить возможные потери от несанкционированного использования карты. Лучше предложить другому лицу использовать другой метод оплаты, чтобы избежать рисков.",,0.0,0.9999999999,1.0,0.9046671541418982,0.0,0.1159062182568944,0.98358846,0.8236214839968312,0.5
Безопасно ли хранить пинкод в заметках в телефоне?,"[""['Категорически запрещается записывать ПИН-код на карте. Постарайтесь не записывать ПИН-код, запомните его. Если же Вы предпочитаете записать свой ПИН-код, никогда не указывайте, что это ПИН-код и не храните документ с записанным ПИН-кодом рядом с картой.']""]","Да, однако не указывайте в названии заметки, что это ПИН-код от Вашей карты.","Хранение пин-кода карты в заметках на телефоне не является безопасным, так как это может привести к возможности доступа злоумышленников к вашим финансовым средствам. Рекомендуется запомнить пин-код или хранить его в надежном месте, отдельно от карты, и не сообщать его третьим лицам, даже близким. В случае утери или подозрения на утечку информации, следует немедленно заблокировать карту и обратиться в банк для получения дополнительной помощи.",1.0,0.9355286842353486,0.9999999999,1.0,0.8690767537840107,0.0,0.1832408814491317,0.9514353,0.7664257510285072,1.0
Я потеряла карту,"[""[' Вы потеряли карту или ее украли\\nПрежде всего, как можно быстрее, сообщите о случившемся в Банк посредством дистанционного обслуживания \\nи заблокируйте карту. Заблокировать карту можно по телефону, в интернет-банке или в мобильном приложении Банка. \\nЧем раньше Вы это сделаете, тем меньше вероятность несанкционированного использования карты злоумышленниками. \\nРазблокировать карту нельзя — можно только перевыпустить. Если вы не уверены, что карту украли, не спешите ее \\nблокировать, установите лимит «0» на операции и запретите покупки через Интернет, если карта будет найдена лимиты \\nможно изменить.\\nНапоминаем Вам, что в соответствии с Общими условиями выпуска и обслуживания кредитных карт и Общими \\nусловиями открытия, ведения и закрытия счетов физических лиц, а также выпуска и обслуживания расчетных карт Ваша \\nответственность за дальнейшее использование карты прекращается, после осуществления блокировки, если не станет \\nизвестно, что незаконное использование карты имело место с Вашего согласия.\\nЕсли карта была у Вас украдена на территории РФ, после блокировки карты заявите о случившемся в полицию. При краже \\nкарты за границей, заявите в полицию или в консульский отдел посольства Российской Федерации в стране, на территории \\nкоторой произошла кража. Пожалуйста, сохраняйте копию протокола (квитанцию о заявлении) для последующего \\nпредъявления в Банк.']""]","Если вы не уверены, что карту украли, не спешите ее блокировать, установите лимит «0» на операции и запретите покупки через Интернет, если карта будет найдена лимиты можно изменить. В случае, если вы полагаете, что Вашу карту всё-таки украли, то как можно быстрее, сообщите о случившемся в Банк посредством дистанционного обслуживания и заблокируйте карту. Это возможно сделать по телефону, в интернет-банке или в мобильном приложении Банка.","Если вы потеряли карту, вам необходимо незамедлительно уведомить банк по телефонам 8 800 555-25-50 или +7 495 645-59-19 (круглосуточно) и заблокировать Расчетную карту. Также следует подать заявление о досрочном перевыпуске карты. В случае нахождения ранее утраченной карты, обязательно верните ее в банк, и использование данной карты в дальнейшем будет запрещено.",1.0,0.0,0.9999999999,0.1,0.9052312960641076,0.0,0.1571695867180481,0.99243647,0.8972098363584112,0.5
"Почему при использовании карты важно не расписываться на квитанциях/чеках до того, как вы проверите правильность указанной суммы?","[""['Проверяйте правильность суммы, указанной на платежном чеке. Поставив подпись на платежном чеке, Вы соглашаетесь со списанием указанной на нем суммы с Вашего карточного счета.']""]","Важно проверять правильность суммы перед подписанием квитанции/чека, потому что после подписи вы соглашаетесь с этой суммой, и она будет списана с вашего счета.","При использовании карты важно не расписываться на квитанциях/чеках до того, как вы проверите правильность указанной суммы. В случае совершения операции оплаты покупки или услуги с использованием карты, ваша подпись на квитанции или чеке подтверждает факт проведения операции. Поэтому перед тем, как поставить свою подпись, необходимо внимательно проверить информацию на документе и удостовериться, что указанная сумма соответствует фактической сумме операции. Подписание квитанции или чека без предварительной проверки может привести к недопониманиям или ошибкам в дальнейшем.",1.0,0.8944318522583828,0.9999999999,1.0,0.9329999142258496,0.0,0.1122852317492293,0.9674781,0.9431692344319612,1.0
"Что делать, если я потеряла телефон, на котором было установлено мобильное приложение банка?","[""['При утрате Мобильного телефона, используемого с абонентским номером подвижной радиотелефонной связи, на который установлено Мобильное приложение Банка, Вам следует срочно обратиться к своему оператору сотовой связи для блокировки SIM-карты и в Банк посредством дистанционного обслуживания для блокировки доступа в мобильное приложение Банка и удаления данных карты с Мобильного телефона.']""]","Если вы потеряли телефон с установленным мобильным приложением банка, необходимо:

Срочно обратиться к оператору сотовой связи для блокировки SIM-карты.
Обратиться в банк через дистанционное обслуживание для блокировки доступа в мобильное приложение и удаления данных карты с телефона.","Если вы потеряли телефон с установленным мобильным приложением банка, вам следует немедленно обратиться к вашему оператору сотовой связи для блокировки SIM-карты и к банку через дистанционное обслуживание для блокировки доступа в мобильное приложение и удаления данных карты с телефона.",1.0,0.9820626042493048,0.9999999999,1.0,0.988338426607253,0.6651,0.8064752928215185,0.9967525,0.983784744308578,1.0
Можно ли использовать интернет-кафе и другие общедоступные места для совершения операций по карте в интернете? Объясните причину.,"[""['Избегайте осуществления Интернет-операций с использованием карты в местах, где услуги Интернет являются общедоступными, например, в Интернет-кафе.']""]","Нет, не рекомендуется использовать интернет-кафе и другие общедоступные места для совершения операций по карте в интернете. Причина в том, что такие общедоступные сети являются менее безопасными, и есть риск перехвата данных карты злоумышленниками.","Для совершения операций по карте в интернете рекомендуется избегать использование общедоступных мест, таких как интернет-кафе. Лучше всего использовать проверенные интернет-магазины, в надежности которых вы уверены. При оплате покупок в сети Интернет важно вводить трехзначный код безопасности CVC2/CVV2 для повышения безопасности операций. Не следует сообщать реквизиты банковской карты (номер карты, срок действия, трехзначный код безопасности, ПИН-код) за исключением случаев использования автоматизированных систем MOTO и систем интернет-коммерции.",1.0,0.9052044204120934,0.9999999999,1.0,0.9118785304245178,0.0496,0.210358357389713,0.98289657,0.9132898065056312,1.0
"Что делать, если я получил SMS-оповещение о операции по карте, которую я не совершал?","[""['Если Вы уверены, что операция не могла быть совершена Вами, то как можно быстрее сообщите об этом в Банк посредством дистанционного обслуживания и заблокируйте карту.']""]","Если вы получили SMS-оповещение о операции, которую не совершали, нужно как можно быстрее сообщить об этом в банк через дистанционное обслуживание и заблокировать карту.","Если вы получили SMS-оповещение о операции по карте, которую вы не совершали, вам следует сначала проверить наличие вашей карты. Если у вас есть карта, возможно, данные вашей карты стали известны третьим лицам. Учтите, что SMS-сообщения могут доставляться с задержкой, поэтому проверьте, соответствует ли текст в SMS-сообщении операциям, которые вы совершили за последнее время. Если вы уверены, что операция не могла быть совершена вами, сообщите об этом в банк посредством дистанционного обслуживания и заблокируйте карту. Помните, что в случае операций в сети интернет или заказов по телефону в SMS-сообщении могут быть указаны страна/город, отличающиеся от вашего места проживания.",1.0,0.9775278012676576,0.9999999999,1.0,0.9465619551968404,0.0136,0.2615912619730341,0.9765542,0.8480636946395913,1.0
Как обезопасить себя от съема данных карты в банкомате злоумышленниками? Приведи два способа.,"[""['Поэтому, при пользовании банкоматом не ленитесь внимательно осмотреть его и убедиться в отсутствии каких-либо «накладок» и посторонних устройств.', 'Пожалуйста, примите все меры, чтобы вводимый Вами ПИН-код был не заметен для окружающих.']""]","Чтобы обезопасить себя от съема данных карты в банкомате:

Внимательно осматривайте банкомат перед использованием на наличие подозрительных накладок и посторонних устройств.
Прикрывайте рукой клавиатуру при вводе ПИН-кода, чтобы его не могли увидеть окружающие.","Для обезопасить себя от съема данных карты в банкомате злоумышленниками, рекомендуется:

1. При получении карты поставить свою подпись на оборотной стороне, следить за ее хранением и не передавать ее третьим лицам.
2. При вводе ПИН-кода прикрывать клавиатуру банкомата рукой, не допускать посторонних к наблюдению, и внимательно осматривать банкомат на предмет подозрительных устройств перед использованием.

Помните, что никогда не следует сообщать свой ПИН-код третьим лицам и быть внимательным при совершении операций с картой.",1.0,0.9580809500926056,0.9999999999,1.0,0.9651918663315842,0.0655,0.3734512335908601,0.98848814,0.955985901626115,1.0
"Правда ли, что при бронировании гостиницы по карте мне необходимо сообщить все реквизиты карты, включая ПИН-код? Если нет, то что именно требуется сообщить?","[""['При бронировании номера в гостинице по карте Вас попросят сообщить свое имя, номер карты, срок ее действия (иногда, дополнительно — трехзначный код безопасности, напечатанный на обратной стороне карты на полосе для подписи) и срок Вашего пребывания.']""]","Нет, неправда. При бронировании гостиницы по карте не требуется сообщать ПИН-код. Обычно для бронирования запрашивают ваше имя, номер карты, срок ее действия, иногда трехзначный код безопасности (CVV/CVC) с оборотной стороны карты и планируемый срок пребывания.","При бронировании номера в гостинице по карте требуется сообщить свое имя, номер карты, срок ее действия, и иногда трехзначный код безопасности. Для проверки подлинности карты может быть произведен авторизационный запрос на незначительную сумму. Важно ознакомиться с правилами бронирования, сроками отмены и сохранить все полученные документы и письма. При отмене бронирования через Интернет или по телефону необходимо сохранить код отмены и другие подтверждающие документы.",1.0,0.91925255759475,0.9999999999,1.0,0.9358344606214598,0.0942,0.3405586786120563,0.9882556,0.94153512656733,1.0
